ANBIMA – Associação Brasileira das Entidades dos Mercados Financeiro e de Capitais. 
IHFA Carteira Teórica 
Validade da Carteira Teórica: 01/10/2020 a 31/12/2020
Data Início;Data Final;Fundo;CNPJ;Quantidade Teórica;Cota dos Fundos em 30/09/2020;Patrimônio Líquido em 30/09/2020 (R$ milhões);Participação Relativa (%)
01/10/2020;31/12/2020;GIANT ZARATHUSTRA II FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO;26.525.548/0001-49;13,5397;1,565222;928,67;0,56
01/10/2020;31/12/2020;GRDP FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO;19.203.036/0001-09;1,5099;2,122308;140,42;0,09
01/10/2020;31/12/2020;GRDS FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO;26.470.660/0001-20;3,2165;1,195179;168,46;0,10
01/10/2020;31/12/2020;GRIPEN ADVISORY FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO;24.193.691/0001-55;19,9360;1,525639;1.332,81;0,81
01/10/2020;31/12/2020;GROWLER FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO;18.489.908/0001-76;27,5805;2,190749;2.647,72;1,61
01/10/2020;31/12/2020;HEDGE ALTERNATIVE INVESTMENTS FICFI MULTIMERCADO CRÉDITO PRIVADO;06.867.811/0001-70;1,2118;8,506788;451,74;0,27
01/10/2020;31/12/2020;HOD MULTIPLICA FUNDO DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO INVESTIMENTO NO EXTERIOR;34.867.354/0001-50;0,0020;1.276,672410;114,52;0,07
01/10/2020;31/12/2020;IBIUNA HEDGE FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO;12.154.412/0001-65;0,0759;288,886545;960,38;0,58
01/10/2020;31/12/2020;IBIUNA HEDGE STH FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO;15.799.713/0001-34;0,6630;273,311070;7.941,02;4,83
01/10/2020;31/12/2020;IBIUNA HEDGE STHG FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO;17.137.326/0001-68;0,0459;254,851189;512,74;0,31
01/10/2020;31/12/2020;IBIUNA HEDGE STR FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO;15.603.942/0001-31;0,0208;301,695240;275,13;0,17
01/10/2020;31/12/2020;IBIUNA HEDGE STS FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO;28.647.981/0001-82;0,1001;140,454753;616,07;0,37
01/10/2020;31/12/2020;IBIUNA LONG BIASED FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO;17.554.200/0001-99;0,0206;251,911016;227,36;0,14
01/10/2020;31/12/2020;IBIUNA LONG SHORT ADVISORY FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO;29.732.926/0001-53;0,0601;117,289584;308,98;0,19
